,precision,recall,f1-score,support
anatomy,0.4,0.23529411764705882,0.29629629629629634,34.0
bacteria_virus,0.9166666666666666,0.2391304347826087,0.3793103448275862,46.0
injury_or_poisoning,1.0,0.2727272727272727,0.42857142857142855,11.0
none,0.17647058823529413,0.7741935483870968,0.2874251497005988,62.0
organical_chemical,0.8,0.14545454545454545,0.24615384615384614,55.0
pathology,1.0,0.27631578947368424,0.4329896907216495,76.0
pharmacologic_substance,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
physiologic_function,0.8666666666666667,0.21311475409836064,0.3421052631578947,61.0
symptom,0.0,0.0,0.0,2.0
accuracy,0.3202247191011236,0.3202247191011236,0.3202247191011236,0.3202247191011236
macro avg,0.6473856209150326,0.2642725205325388,0.3051317058625148,356.0
weighted avg,0.7207149151795549,0.3202247191011236,0.33812105061180997,356.0
